row_id,weekday,hour,solar_radiation,wind_speed,max_temp,min_temp,pressure,min_pressure,max_pressure,pollutants
73,Tuesday,21,0.01,2.35,27.5,9.4,751.0,749.0,752.0,29.7337680618
74,Tuesday,22,0.01,2.0,27.5,9.4,751.0,749.0,752.0,29.3728357467
75,Tuesday,23,0.01,2.05,27.5,9.4,751.0,749.0,752.0,30.8446370009
76,Wednesday,0,0.01,1.9,27.8,13.4,752.0,750.0,754.0,29.2497158948
77,Wednesday,1,0.01,1.55,27.8,13.4,752.0,750.0,754.0,28.9982369065
78,Wednesday,2,0.01,1.7,27.8,13.4,752.0,750.0,754.0,31.6040973536
79,Wednesday,3,0.01,1.9,27.8,13.4,752.0,750.0,754.0,36.9052450902
80,Wednesday,4,0.01,1.4,27.8,13.4,752.0,750.0,754.0,40.2061145847
81,Wednesday,5,0.01,1.45,27.8,13.4,752.0,750.0,754.0,42.7825872624
82,Wednesday,6,0.04,1.75,27.8,13.4,752.0,750.0,754.0,52.0431757119
83,Wednesday,7,0.29,2.7,27.8,13.4,752.0,750.0,754.0,53.3729040189
84,Wednesday,8,0.53,3.8,27.8,13.4,752.0,750.0,754.0,53.9484704631
85,Wednesday,9,0.73,4.35,27.8,13.4,752.0,750.0,754.0,45.4424892411
86,Wednesday,10,0.87,5.05,27.8,13.4,752.0,750.0,754.0,44.4286963427
87,Wednesday,11,0.93,5.8,27.8,13.4,752.0,750.0,754.0,44.2715545781
88,Wednesday,12,0.92,5.5,27.8,13.4,752.0,750.0,754.0,46.2391915512
89,Wednesday,13,0.79,5.5,27.8,13.4,752.0,750.0,754.0,48.242921394
90,Wednesday,14,0.57,5.05,27.8,13.4,752.0,750.0,754.0,48.0460633844
91,Wednesday,15,0.3,4.45,27.8,13.4,752.0,750.0,754.0,49.3110823235
92,Wednesday,16,0.14,3.55,27.8,13.4,752.0,750.0,754.0,46.4073450291
93,Wednesday,17,0.01,2.55,27.8,13.4,752.0,750.0,754.0,43.9489996407
94,Wednesday,18,0.01,1.9,27.8,13.4,752.0,750.0,754.0,47.755902445
95,Wednesday,19,0.01,1.95,27.8,13.4,752.0,750.0,754.0,51.0009906661
96,Wednesday,20,0.01,2.25,27.8,13.4,752.0,750.0,754.0,50.3854198416
97,Wednesday,21,0.01,1.6,27.8,13.4,752.0,750.0,754.0,43.5902176327
98,Wednesday,22,0.01,0.7,27.8,13.4,752.0,750.0,754.0,44.2057906786
99,Wednesday,23,0.01,0.8,27.8,13.4,752.0,750.0,754.0,45.2494382696
100,Thursday,0,0.01,0.9,25.8,11.9,749.444444444,740.0,764.0,49.4232081004
101,Thursday,1,0.01,0.35,25.8,11.9,749.444444444,740.0,764.0,49.1632179319
102,Thursday,2,0.01,0.8,25.8,11.9,749.444444444,740.0,764.0,49.3065032685
103,Thursday,3,0.01,1.5,25.8,11.9,749.444444444,740.0,764.0,54.6808608875
104,Thursday,4,0.01,1.8,25.8,11.9,749.444444444,740.0,764.0,60.8444231048
105,Thursday,5,0.01,1.75,25.8,11.9,749.444444444,740.0,764.0,66.9266557636
106,Thursday,6,0.05,2.25,25.8,11.9,749.444444444,740.0,764.0,78.4163320838
107,Thursday,7,0.18,2.55,25.8,11.9,749.444444444,740.0,764.0,79.6058487314
108,Thursday,8,0.31,3.1,25.8,11.9,749.444444444,740.0,764.0,81.4140428571
109,Thursday,9,0.41,3.3,25.8,11.9,749.444444444,740.0,764.0,75.5643553129
110,Thursday,10,0.43,2.9,25.8,11.9,749.444444444,740.0,764.0,70.1055749707
111,Thursday,11,0.44,2.85,25.8,11.9,749.444444444,740.0,764.0,67.6839499265
112,Thursday,12,0.51,3.4,25.8,11.9,749.444444444,740.0,764.0,60.3261569905
113,Thursday,13,0.35,3.8,25.8,11.9,749.444444444,740.0,764.0,59.8258458364
114,Thursday,14,0.33,3.8,25.8,11.9,749.444444444,740.0,764.0,58.4236445992
115,Thursday,15,0.22,3.4,25.8,11.9,749.444444444,740.0,764.0,60.3709145138
116,Thursday,16,0.1,2.7,25.8,11.9,749.444444444,740.0,764.0,58.636052743
117,Thursday,17,0.02,2.0,25.8,11.9,749.444444444,740.0,764.0,58.6879389527
118,Thursday,18,0.01,2.25,25.8,11.9,749.444444444,740.0,764.0,63.8927059885
119,Thursday,19,0.01,1.8,25.8,11.9,749.444444444,740.0,764.0,64.204315675
120,Thursday,20,0.01,1.4,25.8,11.9,749.444444444,740.0,764.0,64.1610857857
